CÓLERA,A00
DISTÚRBIOS DO METABOLISMO DE AMINOÁCIDOS DE CADEIA RAMIFICADA E DO METABOLISMO DOS ÁCIDOS GRAXOS,E71
OUTROS DISTÚRBIOS DO METABOLISMO DE AMINOÁCIDOS,E72
INTOLERÂNCIA À LACTOSE,E73
OUTROS DISTÚRBIOS DO METABOLISMO DE CARBOIDRATOS,E74
DISTÚRBIOS DO METABOLISMO DE ESFINGOLÍPIDES E OUTROS DISTÚRBIOS DE DEPÓSITO DE LÍPIDES,E75
DISTÚRBIOS DO METABOLISMO DO GLICOSAMINOGLICANO,E76
DISTÚRBIOS DO METABOLISMO DE GLICOPROTEÍNAS,E77
DISTÚRBIOS DO METABOLISMO DE LIPOPROTEÍNAS E OUTRAS LIPIDEMIAS,E78
DISTÚRBIOS DO METABOLISMO DE PURINA E PIRIMIDINA,E79
DISTÚRBIOS DO METABOLISMO DA PORFIRINA E DA BILIRRUBINA,E80
DISTÚRBIOS DO METABOLISMO DE MINERAIS,E83
FIBROSE CÍSTICA,E84
AMILOIDOSE,E85
DEPLEÇÃO DE VOLUME,E86
OUTROS TRANSTORNOS DO EQUILÍBRIO HIDROELETROLÍTICO E ÁCIDO-BÁSICO,E87
OUTROS DISTÚRBIOS METABÓLICOS,E88
"TRANSTORNOS ENDÓCRINOS E METABÓLICOS PÓS-PROCEDIMENTOS, NÃO CLASSIFICADOS EM OUTRA PARTE",E89
TRANSTORNOS NUTRICIONAIS E METABÓLICOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,E90
DEMÊNCIA NA DOENÇA DE ALZHEIMER,F00
DEMÊNCIA VASCULAR,F01
DEMÊNCIA EM OUTRAS DOENÇAS CLASSIFICADAS EM OUTRA PARTE,F02
DEMÊNCIA NÃO ESPECIFICADA,F03
SÍNDROME AMNÉSICA ORGÂNICA NÃO INDUZIDA PELO ÁLCOOL OU POR OUTRAS SUBSTÂNCIAS PSICOATIVAS,F04
DELIRIUM NÃO INDUZIDO PELO ÁLCOOL OU POR OUTRAS SUBSTÂNCIAS PSICOATIVAS,F05
OUTROS TRANSTORNOS MENTAIS DEVIDOS A LESÃO E DISFUNÇÃO CEREBRAL E A DOENÇA FÍSICA,F06
"TRANSTORNOS DE PERSONALIDADE E DO COMPORTAMENTO DEVIDOS A DOENÇA, A LESÃO E A DISFUNÇÃO CEREBRAL",F07
TRANSTORNO MENTAL ORGÂNICO OU SINTOMÁTICO NÃO ESPECIFICADO,F09
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE ÁLCOOL,F10
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE OPIÁCEOS,F11
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE CANABINÓIDES,F12
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SEDATIVOS E HIPNÓTICOS,F13
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DA COCAÍNA,F14
"TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE OUTROS ESTIMULANTES, INCLUSIVE A CAFEÍNA",F15
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE ALUCINÓGENOS,F16
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE FUMO,F17
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SOLVENTES VOLÁTEIS,F18
TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE MÚLTIPLAS DROGAS E AO USO DE OUTRAS SUBSTÂNCIAS PSICOATIVAS,F19
ESQUIZOFRENIA,F20
TRANSTORNO ESQUIZOTÍPICO,F21
TRANSTORNOS DELIRANTES PERSISTENTES,F22
TRANSTORNOS PSICÓTICOS AGUDOS E TRANSITÓRIOS,F23
TRANSTORNO DELIRANTE INDUZIDO,F24
TRANSTORNOS ESQUIZOAFETIVOS,F25
OUTROS TRANSTORNOS PSICÓTICOS NÃO-ORGÂNICOS,F28
PSICOSE NÃO-ORGÂNICA NÃO ESPECIFICADA,F29
EPISÓDIO MANÍACO,F30
TRANSTORNO AFETIVO BIPOLAR,F31
EPISÓDIOS DEPRESSIVOS,F32
TRANSTORNO DEPRESSIVO RECORRENTE,F33
TRANSTORNOS DE HUMOR [AFETIVOS] PERSISTENTES,F34
OUTROS TRANSTORNOS DO HUMOR [AFETIVOS],F38
TRANSTORNO DO HUMOR [AFETIVO] NÃO ESPECIFICADO,F39
TRANSTORNOS FÓBICO-ANSIOSOS,F40
OUTROS TRANSTORNOS ANSIOSOS,F41
TRANSTORNO OBSESSIVO-COMPULSIVO,F42
"REAÇÕES AO ""STRESS"" GRAVE E TRANSTORNOS DE ADAPTAÇÃO",F43
TRANSTORNOS DISSOCIATIVOS [DE CONVERSÃO],F44
TRANSTORNOS SOMATOFORMES,F45
OUTROS TRANSTORNOS NEURÓTICOS,F48
TRANSTORNOS DA ALIMENTAÇÃO,F50
TRANSTORNOS NÃO-ORGÂNICOS DO SONO DEVIDOS A FATORES EMOCIONAIS,F51
"DISFUNÇÃO SEXUAL, NÃO CAUSADA POR TRANSTORNO OU DOENÇA ORGÂNICA",F52
"TRANSTORNOS MENTAIS E COMPORTAMENTAIS ASSOCIADOS AO PUERPÉRIO, NÃO CLASSIFICADOS EM OUTRA PARTE",F53
FATORES PSICOLÓGICOS OU COMPORTAMENTAIS ASSOCIADOS A DOENÇA OU A TRANSTORNOS CLASSIFICADOS EM OUTRA PARTE,F54
ABUSO DE SUBSTÂNCIAS QUE NÃO PRODUZEM DEPENDÊNCIA,F55
"SÍNDROMES COMPORTAMENTAIS ASSOCIADOS A TRANSTORNOS DAS FUNÇÕES FISIOLÓGICAS E A FATORES FÍSICOS, NÃO ESPECIFICADAS",F59
TRANSTORNOS ESPECÍFICOS DA PERSONALIDADE,F60
TRANSTORNOS MISTOS DA PERSONALIDADE E OUTROS TRANSTORNOS DA PERSONALIDADE,F61
MODIFICAÇÕES DURADOURAS DA PERSONALIDADE NÃO ATRIBUÍVEIS A LESÃO OU DOENÇA CEREBRAL,F62
TRANSTORNOS DOS HÁBITOS E DOS IMPULSOS,F63
TRANSTORNOS DA IDENTIDADE SEXUAL,F64
TRANSTORNOS DA PREFERÊNCIA SEXUAL,F65
TRANSTORNOS PSICOLÓGICOS E COMPORTAMENTAIS ASSOCIADOS AO DESENVOLVIMENTO SEXUAL E À SUA ORIENTAÇÃO,F66
OUTROS TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO,F68
"TRANSTORNO DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO, NÃO ESPECIFICADO",F69
RETARDO MENTAL LEVE,F70
RETARDO MENTAL MODERADO,F71
RETARDO MENTAL GRAVE,F72
RETARDO MENTAL PROFUNDO,F73
OUTRO RETARDO MENTAL,F78
RETARDO MENTAL NÃO ESPECIFICADO,F79
TRANSTORNOS ESPECÍFICOS DO DESENVOLVIMENTO DA FALA E DA LINGUAGEM,F80
TRANSTORNOS ESPECÍFICOS DO DESENVOLVIMENTO DAS HABILIDADES ESCOLARES,F81
TRANSTORNO ESPECÍFICO DO DESENVOLVIMENTO MOTOR,F82
TRANSTORNOS ESPECÍFICOS MISTO DO DESENVOLVIMENTO,F83
TRANSTORNOS GLOBAIS DO DESENVOLVIMENTO,F84
OUTROS TRANSTORNOS DO DESENVOLVIMENTO PSICOLÓGICO,F88
TRANSTORNO DO DESENVOLVIMENTO PSICOLÓGICO NÃO ESPECIFICADO,F89
TRANSTORNOS HIPERCINÉTICOS,F90
DISTÚRBIOS DE CONDUTA,F91
TRANSTORNOS MISTOS DE CONDUTA E DAS EMOÇÕES,F92
TRANSTORNOS EMOCIONAIS COM INÍCIO ESPECIFICAMENTE NA INFÂNCIA,F93
TRANSTORNOS DO FUNCIONAMENTO SOCIAL COM INÍCIO ESPECIFICAMENTE DURANTE A INFÂNCIA OU A ADOLESCÊNCIA,F94
TIQUES,F95
OUTROS TRANSTORNOS COMPORTAMENTAIS E EMOCIONAIS COM INÍCIO HABITUALMENTE DURANTE A INFÂNCIA OU A ADOLESCÊNCIA,F98
TRANSTORNO MENTAL NÃO ESPECIFICADO EM OUTRA PARTE,F99
MENINGITE BACTERIANA NÃO CLASSIFICADA EM OUTRA PARTE,G00
MENINGITE EM DOENÇAS BACTERIANAS CLASSIFICADAS EM OUTRA PARTE,G01
MENINGITE EM OUTRAS DOENÇAS INFECCIOSAS E PARASITÁRIAS CLASSIFICADAS EM OUTRA PARTE,G02
MENINGITE DEVIDA A OUTRAS CAUSAS E A CAUSAS NÃO ESPECIFICADAS,G03
"ENCEFALITE, MIELITE E ENCEFALOMIELITE",G04
"ENCEFALITE, MIELITE E ENCEFALOMIELITE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE",G05
ABSCESSO E GRANULOMA INTRACRANIANOS E INTRA-RAQUIDIANOS,G06
ABSCESSO E GRANULOMA INTRACRANIANOS E INTRASPINAIS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G07
FLEBITE E TROMBOFLEBITE INTRACRANIANAS E INTRA-RAQUIDIANAS,G08
SEQÜELAS DE DOENÇAS INFLAMATÓRIAS DO SISTEMA NERVOSO CENTRAL,G09
DOENÇA DE HUNTINGTON,G10
ATAXIA HEREDITÁRIA,G11
ATROFIA MUSCULAR ESPINAL E SÍNDROMES CORRELATAS,G12
ATROFIAS SISTÊMICAS QUE AFETAM PRINCIPALMENTE O SISTEMA NERVOSO CENTRAL EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G13
DOENÇA DE PARKINSON,G20
PARKINSONISMO SECUNDÁRIO,G21
PARKINSONISMO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G22
OUTRAS DOENÇAS DEGENERATIVAS DOS GÂNGLIOS DA BASE,G23
DISTONIA,G24
OUTRAS DOENÇAS EXTRAPIRAMIDAIS E TRANSTORNOS DOS MOVIMENTOS,G25
DOENÇAS EXTRAPIRAMIDAIS E TRANSTORNOS DOS MOVIMENTOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G26
DOENÇA DE ALZHEIMER,G30
OUTRAS DOENÇAS DEGENERATIVAS DO SISTEMA NERVOSO NÃO CLASSIFICADAS EM OUTRA PARTE,G31
OUTROS TRANSTORNOS DEGENERATIVOS DO SISTEMA NERVOSO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G32
ESCLEROSE MÚLTIPLA,G35
OUTRAS DESMIELINIZAÇÕES DISSEMINADAS AGUDAS,G36
OUTRAS DOENÇAS DESMIELINIZANTES DO SISTEMA NERVOSO CENTRAL,G37
EPILEPSIA,G40
ESTADO DE MAL EPILÉPTICO,G41
ENXAQUECA,G43
OUTRAS SÍNDROMES DE ALGIAS CEFÁLICAS,G44
ACIDENTES VASCULARES CEREBRAIS ISQUÊMICOS TRANSITÓRIOS E SÍNDROMES CORRELATAS,G45
SÍNDROMES VASCULARES CEREBRAIS QUE OCORREM EM DOENÇAS CEREBROVASCULARES,G46
DISTÚRBIOS DO SONO,G47
TRANSTORNOS DO NERVO TRIGÊMEO,G50
TRANSTORNOS DO NERVO FACIAL,G51
TRANSTORNOS DE OUTROS NERVOS CRANIANOS,G52
TRANSTORNOS DOS NERVOS CRANIANOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G53
TRANSTORNOS DAS RAÍZES E DOS PLEXOS NERVOSOS,G54
COMPRESSÕES DAS RAÍZES E DOS PLEXOS NERVOSOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G55
MONONEUROPATIAS DOS MEMBROS SUPERIORES,G56
MONONEUROPATIAS DOS MEMBROS INFERIORES,G57
OUTRAS MONONEUROPATIAS,G58
MONONEUROPATIAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G59
NEUROPATIA HEREDITÁRIA E IDIOPÁTICA,G60
POLINEUROPATIA INFLAMATÓRIA,G61
OUTRAS POLINEUROPATIAS,G62
POLINEUROPATIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G63
OUTROS TRANSTORNOS DO SISTEMA NERVOSO PERIFÉRICO,G64
MIASTENIA GRAVIS E OUTROS TRANSTORNOS NEUROMUSCULARES,G70
TRANSTORNOS PRIMÁRIOS DOS MÚSCULOS,G71
OUTRAS MIOPATIAS,G72
TRANSTORNOS DA JUNÇÃO MIONEURAL E DOS MÚSCULOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G73
PARALISIA CEREBRAL,G80
HEMIPLEGIA,G81
PARAPLEGIA E TETRAPLEGIA,G82
OUTRAS SÍNDROMES PARALÍTICAS,G83
TRANSTORNOS DO SISTEMA NERVOSO AUTÔNOMO,G90
HIDROCEFALIA,G91
ENCEFALOPATIA TÓXICA,G92
OUTROS TRANSTORNOS DO ENCÉFALO,G93
OUTROS TRANSTORNOS DO ENCÉFALO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G94
OUTRAS DOENÇAS DA MEDULA ESPINAL,G95
OUTROS TRANSTORNOS DO SISTEMA NERVOSO CENTRAL,G96
TRANSTORNOS PÓS-PROCEDIMENTO DO SISTEMA NERVOSO NÃO CLASSIFICADOS EM OUTRA PARTE,G97
OUTROS TRANSTORNOS DO SISTEMA NERVOSO NÃO CLASSIFICADOS EM OUTRA PARTE,G98
OUTROS TRANSTORNOS DO SISTEMA NERVOSO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,G99
HORDÉOLO E CALÁZIO,H00
OUTRAS INFLAMAÇÕES DA PÁLPEBRA,H01
OUTROS TRANSTORNOS DA PÁLPEBRA,H02
TRANSTORNOS DA PÁLPEBRA EM DOENÇAS CLASSIFICADAS EM OUTRAS PARTES,H03
TRANSTORNOS DO APARELHO LACRIMAL,H04
TRANSTORNOS DA ÓRBITA,H05
TRANSTORNOS DO APARELHO LACRIMAL E DA ÓRBITA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H06
CONJUNTIVITE,H10
OUTROS TRANSTORNOS DA CONJUNTIVA,H11
TRANSTORNOS DA CONJUNTIVA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H13
TRANSTORNOS DA ESCLERÓTICA,H15
CERATITE,H16
CICATRIZES E OPACIDADES DA CÓRNEA,H17
OUTROS TRANSTORNOS DA CÓRNEA,H18
TRANSTORNO DA ESCLERÓTICA E DA CÓRNEA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H19
IRIDOCICLITE,H20
OUTROS TRANSTORNOS DA ÍRIS E DO CORPO CILIAR,H21
TRANSTORNOS DA ÍRIS E DO CORPO CILIAR EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H22
CATARATA SENIL,H25
OUTRAS CATARATAS,H26
OUTROS TRANSTORNOS DO CRISTALINO,H27
CATARATA E OUTROS TRANSTORNOS DO CRISTALINO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H28
INFLAMAÇÃO CORIORRETINIANA,H30
OUTROS TRANSTORNOS DA CORÓIDE,H31
TRANSTORNOS CORIORRETINIANOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H32
DESCOLAMENTOS E DEFEITOS DA RETINA,H33
OCLUSÕES VASCULARES DA RETINA,H34
OUTROS TRANSTORNOS DA RETINA,H35
TRANSTORNOS DA RETINA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H36
GLAUCOMA,H40
GLAUCOMA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H42
TRANSTORNOS DO HUMOR VÍTREO,H43
TRANSTORNOS DO GLOBO OCULAR,H44
TRANSTORNOS DO HUMOR VÍTREO E DO GLOBO OCULAR EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H45
NEURITE ÓPTICA,H46
OUTROS TRANSTORNOS DO NERVO ÓPTICO E DAS VIAS ÓPTICAS,H47
TRANSTORNOS DO NERVO ÓPTICO [SEGUNDO PAR] E DAS VIAS ÓPTICAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H48
ESTRABISMO PARALÍTICO,H49
OUTROS ESTRABISMOS,H50
OUTROS TRANSTORNOS DO MOVIMENTO BINOCULAR,H51
TRANSTORNOS DA REFRAÇÃO E DA ACOMODAÇÃO,H52
DISTÚRBIOS VISUAIS,H53
CEGUEIRA E VISÃO SUBNORMAL,H54
NISTAGMO E OUTROS MOVIMENTOS IRREGULARES DO OLHO,H55
OUTROS TRANSTORNOS DO OLHO E ANEXOS,H57
OUTROS TRANSTORNOS DO OLHO E ANEXOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H58
TRANSTORNOS DO OLHO E ANEXOS PÓS-PROCEDIMENTO NÃO CLASSIFICADOS EM OUTRA PARTE,H59
OTITE EXTERNA,H60
OUTROS TRANSTORNOS DO OUVIDO EXTERNO,H61
TRANSTORNOS DO OUVIDO EXTERNO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H62
OTITE MÉDIA NÃO-SUPURATIVA,H65
OTITE MÉDIA SUPURATIVA E AS NÃO ESPECIFICADAS,H66
OTITE MÉDIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H67
SALPINGITE E OBSTRUÇÃO DA TROMPA DE EUSTÁQUIO,H68
OUTROS TRANSTORNOS DA TROMPA DE EUSTÁQUIO,H69
MASTOIDITE E AFECÇÕES CORRELATAS,H70
COLESTEATOMA DO OUVIDO MÉDIO,H71
PERFURAÇÃO DA MEMBRANA DO TÍMPANO,H72
OUTROS TRANSTORNOS DA MEMBRANA DO TÍMPANO,H73
OUTROS TRANSTORNOS DO OUVIDO MÉDIO E DA MASTÓIDE,H74
OUTROS TRANSTORNOS DO OUVIDO MÉDIO E DA MASTÓIDE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H75
OTOSCLEROSE,H80
TRANSTORNOS DA FUNÇÃO VESTIBULAR,H81
SÍNDROMES VERTIGINOSAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H82
OUTROS TRANSTORNOS DO OUVIDO INTERNO,H83
PERDA DE AUDIÇÃO POR TRANSTORNO DE CONDUÇÃO E/OU NEURO-SENSORIAL,H90
OUTRAS PERDAS DE AUDIÇÃO,H91
OTALGIA E SECREÇÃO AUDITIVA,H92
OUTROS TRANSTORNOS DO OUVIDO NÃO CLASSIFICADOS EM OUTRA PARTE,H93
OUTROS TRANSTORNOS DO OUVIDO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,H94
"TRANSTORNOS DO OUVIDO E DA APÓFISE MASTÓIDE PÓS-PROCEDIMENTOS, NÃO CLASSIFICADOS EM OUTRA PARTE",H95
FEBRE REUMÁTICA SEM MENÇÃO DE COMPROMETIMENTO DO CORAÇÃO,I00
FEBRE REUMÁTICA COM COMPROMETIMENTO DO CORAÇÃO,I01
CORÉIA REUMÁTICA,I02
DOENÇAS REUMÁTICAS DA VALVA MITRAL,I05
DOENÇAS REUMÁTICAS DA VALVA AÓRTICA,I06
DOENÇAS REUMÁTICAS DA VALVA TRICÚSPIDE,I07
DOENÇAS DE MÚLTIPLAS VALVAS,I08
OUTRAS DOENÇAS REUMÁTICAS DO CORAÇÃO,I09
HIPERTENSÃO ESSENCIAL (PRIMÁRIA),I10
DOENÇA CARDÍACA HIPERTENSIVA,I11
DOENÇA RENAL HIPERTENSIVA,I12
DOENÇA CARDÍACA E RENAL HIPERTENSIVA,I13
HIPERTENSÃO SECUNDÁRIA,I15
ANGINA PECTORIS,I20
INFARTO AGUDO DO MIOCÁRDIO,I21
INFARTO DO MIOCÁRDIO RECORRENTE,I22
ALGUMAS COMPLICAÇÕES ATUAIS SUBSEQÜENTES AO INFARTO AGUDO DO MIOCÁRDIO,I23
OUTRAS DOENÇAS ISQUÊMICAS AGUDAS DO CORAÇÃO,I24
DOENÇA ISQUÊMICA CRÔNICA DO CORAÇÃO,I25
EMBOLIA PULMONAR,I26
OUTRAS FORMAS DE DOENÇA CARDÍACA PULMONAR,I27
OUTRAS DOENÇAS DOS VASOS PULMONARES,I28
PERICARDITE AGUDA,I30
OUTRAS DOENÇAS DO PERICÁRDIO,I31
PERICARDITE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,I32
ENDOCARDITE AGUDA E SUBAGUDA,I33
TRANSTORNOS NÃO-REUMÁTICOS DA VALVA MITRAL,I34
TRANSTORNOS NÃO-REUMÁTICOS DA VALVA AÓRTICA,I35
TRANSTORNOS NÃO-REUMÁTICOS DA VALVA TRICÚSPIDE,I36
TRANSTORNOS DA VALVA PULMONAR,I37
ENDOCARDITE DE VALVA NÃO ESPECIFICADA,I38
ENDOCARDITE E TRANSTORNOS VALVULARES CARDÍACOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,I39
MIOCARDITE AGUDA,I40
MIOCARDITE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,I41
CARDIOMIOPATIAS,I42
CARDIOMIOPATIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,I43
BLOQUEIO ATRIOVENTRICULAR E DO RAMO ESQUERDO,I44
OUTROS TRANSTORNOS DE CONDUÇÃO,I45
PARADA CARDÍACA,I46
TAQUICARDIA PAROXÍSTICA,I47
FLUTTER E FIBRILAÇÃO ATRIAL,I48
OUTRAS ARRITMIAS CARDÍACAS,I49
INSUFICIÊNCIA CARDÍACA,I50
COMPLICAÇÕES DE CARDIOPATIAS E DOENÇAS CARDÍACAS MAL DEFINIDAS,I51
OUTRAS AFECÇÕES CARDÍACAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,I52
HEMORRAGIA SUBARACNÓIDE,I60
HEMORRAGIA INTRACEREBRAL,I61
OUTRAS HEMORRAGIAS INTRACRANIANAS NÃO-TRAUMÁTICAS,I62
INFARTO CEREBRAL,I63
"ACIDENTE VASCULAR CEREBRAL, NÃO ESPECIFICADO COMO HEMORRÁGICO OU ISQUÊMICO",I64
OCLUSÃO E ESTENOSE DE ARTÉRIAS PRÉ-CEREBRAIS QUE NÃO RESULTAM EM INFARTO CEREBRAL,I65
OCLUSÃO E ESTENOSE DE ARTÉRIAS CEREBRAIS QUE NÃO RESULTAM EM INFARTO CEREBRAL,I66
OUTRAS DOENÇAS CEREBROVASCULARES,I67
TRANSTORNOS CEREBROVASCULARES EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,I68
SEQÜELAS DE DOENÇAS CEREBROVASCULARES,I69
ATEROSCLEROSE,I70
ANEURISMA E DISSECÇÃO DA AORTA,I71
OUTROS ANEURISMAS,I72
OUTRAS DOENÇAS VASCULARES PERIFÉRICAS,I73
EMBOLIA E TROMBOSE ARTERIAIS,I74
OUTRAS AFECÇÕES DAS ARTÉRIAS E ARTERÍOLAS,I77
DOENÇAS DOS CAPILARES,I78
"TRANSTORNOS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE",I79
FLEBITE E TROMBOFLEBITE,I80
TROMBOSE DA VEIA PORTA,I81
OUTRA EMBOLIA E TROMBOSE VENOSAS,I82
VARIZES DOS MEMBROS INFERIORES,I83
HEMORRÓIDAS,I84
VARIZES ESOFAGIANAS,I85
VARIZES DE OUTRAS LOCALIZAÇÕES,I86
